f1_macro,accuracy,balanced_accuracy,precision_macro,recall_macro,mcc,kappa,log_loss,feature_set,model,seed,outer_fold
0.9698211937378628,0.97,0.97,0.970627642640121,0.97,0.9603261661502892,0.96,0.0866410087915033,FULL_11,PCA_MLP,2026,4
0.9611415049949548,0.96125,0.96125,0.9614776330139004,0.96125,0.948481545154717,0.9483333333333334,0.0867931818532716,FULL_11,PCA_MLP,2026,5
0.9749488092428776,0.975,0.975,0.9753367162876716,0.975,0.966813714101602,0.9666666666666668,0.0670764895224051,FULL_11,PCA_MLP,2027,1
0.9686108854221184,0.96875,0.96875,0.9697276436710108,0.96875,0.9587548786712748,0.9583333333333334,0.088672162869304,FULL_11,PCA_MLP,2027,2
0.9661975681093956,0.96625,0.96625,0.9663416268625448,0.96625,0.9550656630215768,0.955,0.0962105748438229,FULL_11,PCA_MLP,2027,3
0.958676655560921,0.95875,0.95875,0.9594468842301144,0.95875,0.9452855981681876,0.945,0.1116035898088847,FULL_11,PCA_MLP,2027,4
0.9562358036509768,0.95625,0.95625,0.9569509892500964,0.95625,0.9419159148969768,0.9416666666666668,0.1814609587962278,FULL_11,PCA_MLP,2027,5
0.9625465889292658,0.9625,0.9625,0.96380063060878,0.9625,0.9504218433102292,0.95,0.1158791506030876,FULL_11,PCA_MLP,2028,1
0.9762575078243432,0.97625,0.97625,0.9766029792746114,0.97625,0.9684483434032408,0.9683333333333334,0.0730593214992265,FULL_11,PCA_MLP,2028,2
0.9711665082194784,0.97125,0.97125,0.9714141363567524,0.97125,0.9617768765815796,0.9616666666666668,0.0652086417730295,FULL_11,PCA_MLP,2028,3
0.9686902451475484,0.96875,0.96875,0.9690773212494448,0.96875,0.9584831080210234,0.9583333333333334,0.0814984915981908,FULL_11,PCA_MLP,2028,4
0.9572066069535038,0.9575,0.9575,0.9587544689606808,0.9575,0.94394512937575,0.9433333333333334,0.1113765036436159,FULL_11,PCA_MLP,2028,5
0.9774949363606812,0.9775,0.9775,0.9777049344409968,0.9775,0.9700727581853982,0.97,0.0638722529747503,FULL_11,PCA_SVM,2026,1
0.973777727901844,0.97375,0.97375,0.9738233245435096,0.97375,0.9650060313065436,0.965,0.070280535454319,FULL_11,PCA_SVM,2026,2
0.9824835656325858,0.9825,0.9825,0.9834119968035162,0.9825,0.9769862748718824,0.9766666666666668,0.0499779121216375,FULL_11,PCA_SVM,2026,3
0.9762379704725516,0.97625,0.97625,0.9767090858989452,0.97625,0.968496780957177,0.9683333333333334,0.0654138752873468,FULL_11,PCA_SVM,2026,4
0.968740426755694,0.96875,0.96875,0.9690182974143324,0.96875,0.958431178177191,0.9583333333333334,0.0727191899005008,FULL_11,PCA_SVM,2026,5
0.9774797317585828,0.9775,0.9775,0.9783219590525892,0.9775,0.9702911310155096,0.97,0.0599293539092613,FULL_11,PCA_SVM,2027,1
0.9774797317585828,0.9775,0.9775,0.9783219590525892,0.9775,0.9702911310155096,0.97,0.0636841028391098,FULL_11,PCA_SVM,2027,2
0.9762498515615724,0.97625,0.97625,0.9762556563914098,0.97625,0.9683353507007488,0.9683333333333334,0.0679652083285218,FULL_11,PCA_SVM,2027,3
0.9762462884825752,0.97625,0.97625,0.9763914946841776,0.97625,0.9683837713016116,0.9683333333333334,0.0704276919294913,FULL_11,PCA_SVM,2027,4
0.97499437373409,0.975,0.975,0.9752026824141729,0.975,0.9667391748239365,0.9666666666666668,0.0641781667075985,FULL_11,PCA_SVM,2027,5
0.9824986518864398,0.9825,0.9825,0.982935855263158,0.9825,0.9768152352819636,0.9766666666666668,0.0576996915032693,FULL_11,PCA_SVM,2028,1
0.97874880462026,0.97875,0.97875,0.9788014803330748,0.97875,0.9716848859290852,0.9716666666666668,0.0514000611739851,FULL_11,PCA_SVM,2028,2
0.9762427243343272,0.97625,0.97625,0.976527496182824,0.97625,0.968432199166866,0.9683333333333334,0.0642334859197515,FULL_11,PCA_SVM,2028,3
